TRAJECTORY;ASTAGarageSquare_ego;0.1;1396;
LINE;0.00;15.00;10.00;0.00; 0.00;  0.00;   0.06;    0.00;        0;ENDLINE;
LINE;0.01;15.00;10.00;0.00; 0.00;  0.00;   0.13;    0.00;        0;ENDLINE;
LINE;0.02;15.00;10.00;0.00; 0.00;  0.00;   0.25;    0.00;        0;ENDLINE;
LINE;0.03;15.00;10.00;0.00; 0.00;  0.01;   0.36;    0.00;        0;ENDLINE;
LINE;0.04;15.00;10.00;0.00; 0.00;  0.01;   0.48;    0.00;        0;ENDLINE;
LINE;0.05;15.00;10.00;0.00; 0.00;  0.01;   0.58;    0.00;        0;ENDLINE;
LINE;0.06;15.00;10.00;0.00; 0.00;  0.02;   0.69;    0.00;        0;ENDLINE;
LINE;0.07;15.00;10.00;0.00; 0.00;  0.03;   0.79;    0.00;        0;ENDLINE;
LINE;0.08;15.00;10.00;0.00; 0.00;  0.04;   0.89;    0.00;        0;ENDLINE;
LINE;0.09;15.00;10.00;0.00; 0.00;  0.05;   0.99;    0.00;        0;ENDLINE;
LINE;0.10;15.00;10.00;0.00; 0.00;  0.06;   1.09;    0.00;        0;ENDLINE;
LINE;0.11;15.00;10.00;0.00; 0.00;  0.07;   1.18;    0.00;        0;ENDLINE;
LINE;0.12;15.00;10.00;0.00; 0.00;  0.08;   1.27;    0.00;        0;ENDLINE;
LINE;0.13;15.01;10.00;0.00; 0.00;  0.09;   1.36;    0.00;        0;ENDLINE;
LINE;0.14;15.01;10.00;0.00; 0.00;  0.11;   1.45;    0.00;        0;ENDLINE;
LINE;0.15;15.01;10.00;0.00; 0.00;  0.12;   1.53;    0.00;        0;ENDLINE;
LINE;0.16;15.01;10.00;0.00; 0.00;  0.14;   1.61;    0.00;        0;ENDLINE;
LINE;0.17;15.01;10.00;0.00; 0.00;  0.15;   1.69;    0.00;        0;ENDLINE;
LINE;0.18;15.01;10.00;0.01; 0.00;  0.17;   1.76;    0.00;        0;ENDLINE;
LINE;0.19;15.01;10.00;0.01; 0.00;  0.19;   1.83;    0.00;        0;ENDLINE;
LINE;0.20;15.02;10.00;0.01; 0.00;  0.21;   1.90;    0.00;        0;ENDLINE;
LINE;0.21;15.02;10.00;0.01; 0.00;  0.23;   1.96;    0.00;        0;ENDLINE;
LINE;0.22;15.02;10.00;0.01; 0.00;  0.25;   2.02;    0.00;        0;ENDLINE;
LINE;0.23;15.02;10.00;0.01; 0.00;  0.27;   2.07;    0.00;        0;ENDLINE;
LINE;0.24;15.03;10.00;0.01; 0.00;  0.29;   2.12;    0.00;        0;ENDLINE;
LINE;0.25;15.03;10.00;0.01; 0.00;  0.31;   2.17;    0.00;        0;ENDLINE;
LINE;0.26;15.03;10.00;0.01; 0.00;  0.33;   2.21;    0.00;        0;ENDLINE;
LINE;0.27;15.04;10.00;0.01; 0.00;  0.35;   2.25;    0.00;        0;ENDLINE;
LINE;0.28;15.04;10.00;0.01; 0.00;  0.38;   2.29;    0.00;        0;ENDLINE;
LINE;0.29;15.04;10.00;0.01; 0.00;  0.40;   2.33;    0.00;        0;ENDLINE;
LINE;0.30;15.05;10.00;0.01; 0.00;  0.42;   2.36;    0.00;        0;ENDLINE;
