TRAJECTORY;ASTAGarageSquare_fellow_4;0.1;1809;;;;;;;
LINE;0.64;18.22;103.81;0.00; 5.07;  1.23;   2.49;    0.00;0;ENDLINE
LINE;0.65;18.23;103.80;0.00; 5.07;  1.26;   2.49;    0.00;0;ENDLINE
LINE;0.66;18.23;103.79;0.00; 5.07;  1.28;   2.48;    0.00;0;ENDLINE
LINE;0.67;18.24;103.78;0.00; 5.07;  1.31;   2.47;    0.00;0;ENDLINE
LINE;0.68;18.24;103.77;0.00; 5.07;  1.33;   2.46;    0.00;0;ENDLINE
LINE;0.69;18.25;103.75;0.00; 5.07;  1.36;   2.45;    0.00;0;ENDLINE
LINE;0.70;18.25;103.74;0.00; 5.07;  1.38;   2.45;    0.00;0;ENDLINE
LINE;0.71;18.26;103.73;0.00; 5.07;  1.40;   2.44;    0.00;0;ENDLINE
LINE;0.72;18.26;103.72;0.00; 5.07;  1.43;   2.43;    0.00;0;ENDLINE
LINE;0.73;18.27;103.70;0.00; 5.07;  1.45;   2.42;    0.00;0;ENDLINE
LINE;0.74;18.27;103.69;0.00; 5.07;  1.48;   2.42;    0.00;0;ENDLINE
LINE;0.75;18.28;103.67;0.00; 5.07;  1.50;   2.41;    0.00;0;ENDLINE
LINE;0.76;18.28;103.66;0.00; 5.07;  1.53;   2.40;    0.00;0;ENDLINE
LINE;0.77;18.29;103.65;0.00; 5.07;  1.55;   2.39;    0.00;0;ENDLINE
LINE;0.78;18.29;103.63;0.00; 5.07;  1.57;   2.39;    0.00;0;ENDLINE
LINE;0.79;18.30;103.62;0.00; 5.07;  1.60;   2.38;    0.00;0;ENDLINE
LINE;0.80;18.30;103.60;0.00; 5.07;  1.62;   2.37;    0.00;0;ENDLINE
LINE;0.81;18.31;103.59;0.00; 5.07;  1.65;   2.37;    0.00;0;ENDLINE
LINE;0.82;18.32;103.57;0.00; 5.07;  1.67;   2.36;    0.00;0;ENDLINE
LINE;0.83;18.32;103.55;0.00; 5.07;  1.69;   2.35;    0.00;0;ENDLINE
LINE;0.84;18.33;103.54;0.00; 5.07;  1.72;   2.35;    0.00;0;ENDLINE
LINE;0.85;18.33;103.52;0.00; 5.07;  1.74;   2.34;    0.00;0;ENDLINE
LINE;0.86;18.34;103.51;0.00; 5.07;  1.76;   2.33;    0.00;0;ENDLINE
LINE;0.87;18.35;103.49;0.00; 5.07;  1.79;   2.33;    0.00;0;ENDLINE
LINE;0.88;18.35;103.47;0.00; 5.07;  1.81;   2.32;    0.00;0;ENDLINE
LINE;0.89;18.36;103.46;0.00; 5.07;  1.83;   2.31;    0.00;0;ENDLINE
LINE;0.90;18.37;103.44;0.00; 5.07;  1.86;   2.31;    0.00;0;ENDLINE
LINE;0.91;18.37;103.42;0.00; 5.07;  1.88;   2.30;    0.00;0;ENDLINE
LINE;0.92;18.38;103.40;0.00; 5.07;  1.90;   2.29;    0.00;0;ENDLINE
LINE;0.93;18.39;103.39;0.00; 5.07;  1.92;   2.29;    0.00;0;ENDLINE
LINE;0.94;18.39;103.37;0.00; 5.07;  1.95;   2.28;    0.00;0;ENDLINE
LINE;0.95;18.40;103.35;0.00; 5.07;  1.97;   2.27;    0.00;0;ENDLINE
LINE;0.96;18.41;103.33;0.00; 5.07;  1.99;   2.27;    0.00;0;ENDLINE
LINE;0.97;18.41;103.31;0.00; 5.07;  2.02;   2.26;    0.00;0;ENDLINE
LINE;0.98;18.42;103.29;0.00; 5.07;  2.04;   2.26;    0.00;0;ENDLINE
LINE;0.99;18.43;103.27;0.00; 5.07;  2.06;   2.25;    0.00;0;ENDLINE
LINE;1.00;18.44;103.25;0.00; 5.07;  2.08;   2.24;    0.00;0;ENDLINE
LINE;1.01;18.44;103.23;0.00; 5.07;  2.11;   2.24;    0.00;0;ENDLINE
LINE;1.02;18.45;103.21;0.00; 5.07;  2.13;   2.23;    0.00;0;ENDLINE
LINE;1.03;18.46;103.19;0.00; 5.07;  2.15;   2.23;    0.00;0;ENDLINE
LINE;1.04;18.47;103.17;0.00; 5.07;  2.17;   2.22;    0.00;0;ENDLINE
LINE;1.05;18.47;103.15;0.00; 5.07;  2.19;   2.21;    0.00;0;ENDLINE
LINE;1.06;18.48;103.13;0.00; 5.07;  2.22;   2.21;    0.00;0;ENDLINE
LINE;1.07;18.49;103.11;0.00; 5.07;  2.24;   2.20;    0.00;0;ENDLINE
LINE;1.08;18.50;103.09;0.00; 5.07;  2.26;   2.20;    0.00;0;ENDLINE
LINE;1.09;18.50;103.07;0.00; 5.07;  2.28;   2.19;    0.00;0;ENDLINE
LINE;1.10;18.51;103.05;0.00; 5.07;  2.31;   2.19;    0.00;0;ENDLINE
LINE;1.11;18.52;103.03;0.00; 5.07;  2.33;   2.18;    0.00;0;ENDLINE
LINE;1.12;18.53;103.00;0.00; 5.07;  2.35;   2.18;    0.00;0;ENDLINE
LINE;1.13;18.54;102.98;0.00; 5.07;  2.37;   2.17;    0.00;0;ENDLINE
LINE;1.14;18.55;102.96;0.00; 5.07;  2.39;   2.17;    0.00;0;ENDLINE
LINE;1.15;18.55;102.94;0.00; 5.07;  2.41;   2.16;    0.00;0;ENDLINE
LINE;1.16;18.56;102.92;0.00; 5.07;  2.44;   2.16;    0.00;0;ENDLINE
LINE;1.17;18.57;102.89;0.00; 5.07;  2.46;   2.16;    0.00;0;ENDLINE
LINE;1.18;18.58;102.87;0.00; 5.07;  2.48;   2.15;    0.00;0;ENDLINE
LINE;1.19;18.59;102.85;0.00; 5.07;  2.50;   2.15;    0.00;0;ENDLINE
LINE;1.20;18.60;102.82;0.00; 5.07;  2.52;   2.14;    0.00;0;ENDLINE
LINE;1.21;18.61;102.80;0.00; 5.07;  2.54;   2.14;    0.00;0;ENDLINE
LINE;1.22;18.62;102.77;0.00; 5.07;  2.56;   2.14;    0.00;0;ENDLINE
LINE;1.23;18.63;102.75;0.00; 5.07;  2.59;   2.13;    0.00;0;ENDLINE
LINE;1.24;18.63;102.73;0.00; 5.07;  2.61;   2.13;    0.00;0;ENDLINE
LINE;1.25;18.64;102.70;0.00; 5.07;  2.63;   2.13;    0.00;0;ENDLINE
LINE;1.26;18.65;102.68;0.00; 5.07;  2.65;   2.12;    0.00;0;ENDLINE
LINE;1.27;18.66;102.65;0.00; 5.07;  2.67;   2.12;    0.00;0;ENDLINE
LINE;1.28;18.67;102.63;0.00; 5.07;  2.69;   2.12;    0.00;0;ENDLINE
LINE;1.29;18.68;102.60;0.00; 5.07;  2.71;   2.12;    0.00;0;ENDLINE
LINE;1.30;18.69;102.58;0.00; 5.07;  2.73;   2.11;    0.00;0;ENDLINE
LINE;1.31;18.70;102.55;0.00; 5.07;  2.76;   2.11;    0.00;0;ENDLINE
LINE;1.32;18.71;102.52;0.00; 5.07;  2.78;   2.11;    0.00;0;ENDLINE
LINE;1.33;18.72;102.50;0.00; 5.07;  2.80;   2.11;    0.00;0;ENDLINE
LINE;1.34;18.73;102.47;0.00; 5.07;  2.82;   2.11;    0.00;0;ENDLINE
LINE;1.35;18.74;102.45;0.00; 5.07;  2.84;   2.11;    0.00;0;ENDLINE
LINE;1.36;18.75;102.42;0.00; 5.07;  2.86;   2.11;    0.00;0;ENDLINE
LINE;1.37;18.76;102.39;0.00; 5.07;  2.88;   2.11;    0.00;0;ENDLINE
LINE;1.38;18.77;102.37;0.00; 5.07;  2.90;   2.11;    0.00;0;ENDLINE
LINE;1.39;18.78;102.34;0.00; 5.07;  2.92;   2.11;    0.00;0;ENDLINE
LINE;1.40;18.79;102.31;0.00; 5.07;  2.95;   2.11;    0.00;0;ENDLINE
LINE;1.41;18.80;102.28;0.00; 5.07;  2.97;   2.11;    0.00;0;ENDLINE
LINE;1.42;18.81;102.26;0.00; 5.07;  2.99;   2.11;    0.00;0;ENDLINE
LINE;1.43;18.82;102.23;0.00; 5.07;  3.01;   2.11;    0.00;0;ENDLINE
LINE;1.44;18.83;102.20;0.00; 5.07;  3.03;   2.11;    0.00;0;ENDLINE
LINE;1.45;18.84;102.17;0.00; 5.07;  3.05;   2.11;    0.00;0;ENDLINE
LINE;1.46;18.86;102.14;0.00; 5.07;  3.07;   2.11;    0.00;0;ENDLINE
LINE;1.47;18.87;102.11;0.00; 5.07;  3.09;   2.11;    0.00;0;ENDLINE
LINE;1.48;18.88;102.08;0.00; 5.07;  3.11;   2.11;    0.00;0;ENDLINE
LINE;1.49;18.89;102.05;0.00; 5.07;  3.14;   2.11;    0.00;0;ENDLINE
LINE;1.50;18.90;102.03;0.00; 5.07;  3.16;   2.11;    0.00;0;ENDLINE
LINE;1.51;18.91;102.00;0.00; 5.07;  3.18;   2.11;    0.00;0;ENDLINE
LINE;1.52;18.92;101.97;0.00; 5.07;  3.20;   2.12;    0.00;0;ENDLINE
LINE;1.53;18.93;101.94;0.00; 5.07;  3.22;   2.12;    0.00;0;ENDLINE
LINE;1.54;18.94;101.91;0.00; 5.07;  3.24;   2.12;    0.00;0;ENDLINE
LINE;1.55;18.96;101.88;0.00; 5.07;  3.26;   2.12;    0.00;0;ENDLINE
LINE;1.56;18.97;101.84;0.00; 5.07;  3.28;   2.12;    0.00;0;ENDLINE
LINE;1.57;18.98;101.81;0.00; 5.07;  3.30;   2.12;    0.00;0;ENDLINE
LINE;1.58;18.99;101.78;0.00; 5.07;  3.33;   2.12;    0.00;0;ENDLINE
LINE;1.59;19.00;101.75;0.00; 5.07;  3.35;   2.12;    0.00;0;ENDLINE
LINE;1.60;19.01;101.72;0.00; 5.07;  3.37;   2.12;    0.00;0;ENDLINE
LINE;1.61;19.03;101.69;0.00; 5.07;  3.39;   2.12;    0.00;0;ENDLINE
LINE;1.62;19.04;101.66;0.00; 5.07;  3.41;   2.12;    0.00;0;ENDLINE
LINE;1.63;19.05;101.62;0.00; 5.07;  3.43;   2.12;    0.00;0;ENDLINE
LINE;1.64;19.06;101.59;0.00; 5.07;  3.45;   2.12;    0.00;0;ENDLINE
LINE;1.65;19.07;101.56;0.00; 5.07;  3.47;   2.12;    0.00;0;ENDLINE
LINE;1.66;19.09;101.53;0.00; 5.07;  3.50;   2.12;    0.00;0;ENDLINE
LINE;1.67;19.10;101.49;0.00; 5.07;  3.52;   2.12;    0.00;0;ENDLINE
LINE;1.68;19.11;101.46;0.00; 5.07;  3.54;   2.12;    0.00;0;ENDLINE
LINE;1.69;19.12;101.43;0.00; 5.07;  3.56;   2.12;    0.00;0;ENDLINE
LINE;1.70;19.14;101.39;0.00; 5.07;  3.58;   2.12;    0.00;0;ENDLINE
LINE;1.71;19.15;101.36;0.00; 5.07;  3.60;   2.12;    0.00;0;ENDLINE
LINE;1.72;19.16;101.33;0.00; 5.07;  3.62;   2.12;    0.00;0;ENDLINE
LINE;1.73;19.18;101.29;0.00; 5.07;  3.64;   2.12;    0.00;0;ENDLINE
LINE;1.74;19.19;101.26;0.00; 5.07;  3.67;   2.12;    0.00;0;ENDLINE
LINE;1.75;19.20;101.22;0.00; 5.07;  3.69;   2.12;    0.00;0;ENDLINE
LINE;1.76;19.21;101.19;0.00; 5.07;  3.71;   2.12;    0.00;0;ENDLINE
LINE;1.77;19.23;101.16;0.00; 5.07;  3.73;   2.12;    0.00;0;ENDLINE
LINE;1.78;19.24;101.12;0.00; 5.07;  3.75;   2.12;    0.00;0;ENDLINE
LINE;1.79;19.25;101.09;0.00; 5.07;  3.77;   2.12;    0.00;0;ENDLINE
LINE;1.80;19.27;101.05;0.00; 5.07;  3.79;   2.12;    0.00;0;ENDLINE
LINE;1.81;19.28;101.01;0.00; 5.07;  3.81;   2.12;    0.00;0;ENDLINE
LINE;1.82;19.29;100.98;0.00; 5.07;  3.84;   2.12;    0.00;0;ENDLINE
LINE;1.83;19.31;100.94;0.00; 5.07;  3.86;   2.12;    0.00;0;ENDLINE
LINE;1.84;19.32;100.91;0.00; 5.07;  3.88;   2.12;    0.00;0;ENDLINE
LINE;1.85;19.34;100.87;0.00; 5.07;  3.90;   2.12;    0.00;0;ENDLINE
LINE;1.86;19.35;100.83;0.00; 5.07;  3.92;   2.12;    0.00;0;ENDLINE
LINE;1.87;19.36;100.80;0.00; 5.07;  3.94;   2.12;    0.00;0;ENDLINE
LINE;1.88;19.38;100.76;0.00; 5.07;  3.96;   2.12;    0.00;0;ENDLINE
LINE;1.89;19.39;100.72;0.00; 5.07;  3.98;   2.12;    0.00;0;ENDLINE
LINE;1.90;19.41;100.68;0.00; 5.07;  4.01;   2.12;    0.00;0;ENDLINE
LINE;1.91;19.42;100.65;0.00; 5.07;  4.03;   2.12;    0.00;0;ENDLINE
LINE;1.92;19.43;100.61;0.00; 5.07;  4.05;   2.12;    0.00;0;ENDLINE
LINE;1.93;19.45;100.57;0.00; 5.07;  4.07;   2.12;    0.00;0;ENDLINE
LINE;1.94;19.46;100.53;0.00; 5.07;  4.09;   2.12;    0.00;0;ENDLINE
LINE;1.95;19.48;100.50;0.00; 5.07;  4.11;   2.12;    0.00;0;ENDLINE
LINE;1.96;19.49;100.46;0.00; 5.07;  4.13;   2.12;    0.00;0;ENDLINE
LINE;1.97;19.51;100.42;0.00; 5.07;  4.15;   2.12;    0.00;0;ENDLINE
LINE;1.98;19.52;100.38;0.00; 5.07;  4.17;   2.12;    0.00;0;ENDLINE
LINE;1.99;19.54;100.34;0.00; 5.07;  4.20;   2.12;    0.00;0;ENDLINE
LINE;2.00;19.55;100.30;0.00; 5.07;  4.22;   2.12;    0.00;0;ENDLINE
LINE;2.01;19.57;100.26;0.00; 5.07;  4.24;   2.12;    0.00;0;ENDLINE
LINE;2.02;19.58;100.22;0.00; 5.07;  4.26;   2.12;    0.00;0;ENDLINE
LINE;2.03;19.60;100.18;0.00; 5.07;  4.28;   2.12;    0.00;0;ENDLINE
LINE;2.04;19.61;100.14;0.00; 5.07;  4.30;   2.12;    0.00;0;ENDLINE
LINE;2.05;19.63;100.10;0.00; 5.07;  4.32;   2.12;    0.00;0;ENDLINE
LINE;2.06;19.64;100.06;0.00; 5.07;  4.34;   2.12;    0.00;0;ENDLINE
LINE;2.07;19.66;100.02;0.00; 5.07;  4.37;   2.12;    0.00;0;ENDLINE
LINE;2.08;19.67;99.98;0.00; 5.07;  4.39;   2.12;    0.00;0;ENDLINE
LINE;2.09;19.69;99.94;0.00; 5.07;  4.41;   2.12;    0.00;0;ENDLINE
LINE;2.10;19.70;99.90;0.00; 5.07;  4.43;   2.11;    0.00;0;ENDLINE
LINE;2.11;19.72;99.85;0.00; 5.07;  4.45;   2.11;    0.00;0;ENDLINE
LINE;2.12;19.73;99.81;0.00; 5.07;  4.47;   2.11;    0.00;0;ENDLINE
LINE;2.13;19.75;99.77;0.00; 5.07;  4.49;   2.11;    0.00;0;ENDLINE
LINE;2.14;19.77;99.73;0.00; 5.07;  4.51;   2.11;    0.00;0;ENDLINE
LINE;2.15;19.78;99.69;0.00; 5.07;  4.53;   2.11;    0.00;0;ENDLINE
LINE;2.16;19.80;99.64;0.00; 5.07;  4.56;   2.11;    0.00;0;ENDLINE
LINE;2.17;19.81;99.60;0.00; 5.07;  4.58;   2.11;    0.00;0;ENDLINE
LINE;2.18;19.83;99.56;0.00; 5.07;  4.60;   2.11;    0.00;0;ENDLINE
LINE;2.19;19.85;99.51;0.00; 5.07;  4.62;   2.11;    0.00;0;ENDLINE
LINE;2.20;19.86;99.47;0.00; 5.07;  4.64;   2.11;    0.00;0;ENDLINE
LINE;2.21;19.88;99.43;0.00; 5.07;  4.66;   2.11;    0.00;0;ENDLINE
LINE;2.22;19.90;99.38;0.00; 5.07;  4.68;   2.11;    0.00;0;ENDLINE
LINE;2.23;19.91;99.34;0.00; 5.07;  4.70;   2.11;    0.00;0;ENDLINE
LINE;2.24;19.93;99.30;0.00; 5.07;  4.72;   2.11;    0.00;0;ENDLINE
LINE;2.25;19.95;99.25;0.00; 5.07;  4.75;   2.11;    0.00;0;ENDLINE
LINE;2.26;19.96;99.21;0.00; 5.07;  4.77;   2.11;    0.00;0;ENDLINE
LINE;2.27;19.98;99.16;0.00; 5.07;  4.79;   2.11;    0.00;0;ENDLINE
LINE;2.28;20.00;99.12;0.00; 5.07;  4.81;   2.11;    0.00;0;ENDLINE
LINE;2.29;20.01;99.07;0.00; 5.07;  4.83;   2.11;    0.00;0;ENDLINE
LINE;2.30;20.03;99.03;0.00; 5.07;  4.85;   2.11;    0.00;0;ENDLINE
LINE;2.31;20.05;98.98;0.00; 5.07;  4.87;   2.11;    0.00;0;ENDLINE
LINE;2.32;20.07;98.94;0.00; 5.07;  4.89;   2.11;    0.00;0;ENDLINE
LINE;2.33;20.08;98.89;0.00; 5.07;  4.91;   2.11;    0.00;0;ENDLINE
LINE;2.34;20.10;98.84;0.00; 5.07;  4.93;   2.11;    0.00;0;ENDLINE
LINE;2.35;20.12;98.80;0.00; 5.07;  4.96;   2.11;    0.00;0;ENDLINE
LINE;2.36;20.14;98.75;0.00; 5.07;  4.98;   2.11;    0.00;0;ENDLINE
LINE;2.37;20.15;98.70;0.00; 5.07;  5.00;   2.11;    0.00;0;ENDLINE
LINE;2.38;20.17;98.66;0.00; 5.07;  5.02;   2.11;    0.00;0;ENDLINE
LINE;2.39;20.19;98.61;0.00; 5.07;  5.04;   2.11;    0.00;0;ENDLINE
LINE;2.40;20.21;98.56;0.00; 5.07;  5.06;   2.11;    0.00;0;ENDLINE
LINE;2.41;20.22;98.52;0.00; 5.07;  5.08;   2.11;    0.00;0;ENDLINE
LINE;2.42;20.24;98.47;0.00; 5.07;  5.10;   2.11;    0.00;0;ENDLINE
LINE;2.43;20.26;98.42;0.00; 5.07;  5.12;   2.11;    0.00;0;ENDLINE
LINE;2.44;20.28;98.37;0.00; 5.07;  5.15;   2.11;    0.00;0;ENDLINE
LINE;2.45;20.30;98.32;0.00; 5.07;  5.17;   2.11;    0.00;0;ENDLINE
LINE;2.46;20.31;98.28;0.00; 5.07;  5.19;   2.10;    0.00;0;ENDLINE
LINE;2.47;20.33;98.23;0.00; 5.07;  5.21;   2.10;    0.00;0;ENDLINE
LINE;2.48;20.35;98.18;0.00; 5.07;  5.23;   2.10;    0.00;0;ENDLINE
LINE;2.49;20.37;98.13;0.00; 5.07;  5.25;   2.10;    0.00;0;ENDLINE
LINE;2.50;20.39;98.08;0.00; 5.07;  5.27;   2.10;    0.00;0;ENDLINE
LINE;2.51;20.41;98.03;0.00; 5.07;  5.29;   2.10;    0.00;0;ENDLINE
LINE;2.52;20.43;97.98;0.00; 5.07;  5.31;   2.10;    0.00;0;ENDLINE
LINE;2.53;20.44;97.93;0.00; 5.07;  5.33;   2.09;    0.00;0;ENDLINE
LINE;2.54;20.46;97.88;0.00; 5.07;  5.36;   2.03;    0.00;0;ENDLINE
LINE;2.55;20.48;97.83;0.00; 5.07;  5.38;   1.90;    0.00;0;ENDLINE
LINE;2.56;20.50;97.78;0.00; 5.07;  5.39;   1.72;    0.00;0;ENDLINE
LINE;2.57;20.52;97.73;0.00; 5.07;  5.41;   1.56;    0.00;0;ENDLINE
LINE;2.58;20.54;97.68;0.00; 5.07;  5.43;   1.40;    0.00;0;ENDLINE
LINE;2.59;20.56;97.63;0.00; 5.07;  5.44;   1.23;    0.00;0;ENDLINE
LINE;2.60;20.58;97.58;0.00; 5.07;  5.45;   1.08;    0.00;0;ENDLINE
LINE;2.61;20.60;97.53;0.00; 5.07;  5.46;   0.96;    0.00;0;ENDLINE
