TRAJECTORY;ASTAGarageSquare_fellow_1;0.1;1809;;;;;;;
LINE;0.00;29.34;108.35;0.00; 5.07;  0.00;   0.00;    0.00;0;ENDLINE
LINE;0.01;29.34;108.35;0.00; 5.07;  0.00;   0.04;    0.00;0;ENDLINE
LINE;0.02;29.34;108.35;0.00; 5.07;  0.00;   0.11;    0.00;0;ENDLINE
LINE;0.03;29.34;108.35;0.00; 5.07;  0.00;   0.22;    0.00;0;ENDLINE
LINE;0.04;29.34;108.35;0.00; 5.07;  0.00;   0.35;    0.00;0;ENDLINE
LINE;0.05;29.34;108.35;0.00; 5.07;  0.01;   0.47;    0.00;0;ENDLINE
LINE;0.06;29.34;108.35;0.00; 5.07;  0.01;   0.59;    0.00;0;ENDLINE
LINE;0.07;29.34;108.35;0.00; 5.07;  0.02;   0.70;    0.00;0;ENDLINE
LINE;0.08;29.34;108.35;0.00; 5.07;  0.02;   0.80;    0.00;0;ENDLINE
LINE;0.09;29.34;108.35;0.00; 5.07;  0.03;   0.90;    0.00;0;ENDLINE
LINE;0.10;29.34;108.35;0.00; 5.07;  0.04;   1.00;    0.00;0;ENDLINE
LINE;0.11;29.34;108.34;0.00; 5.07;  0.05;   1.10;    0.00;0;ENDLINE
LINE;0.12;29.34;108.34;0.00; 5.07;  0.06;   1.19;    0.00;0;ENDLINE
LINE;0.13;29.34;108.34;0.00; 5.07;  0.07;   1.28;    0.00;0;ENDLINE
LINE;0.14;29.34;108.34;0.00; 5.07;  0.09;   1.37;    0.00;0;ENDLINE
LINE;0.15;29.34;108.34;0.00; 5.07;  0.10;   1.45;    0.00;0;ENDLINE
LINE;0.16;29.34;108.34;0.00; 5.07;  0.12;   1.53;    0.00;0;ENDLINE
LINE;0.17;29.34;108.34;0.00; 5.07;  0.13;   1.61;    0.00;0;ENDLINE
LINE;0.18;29.34;108.34;0.00; 5.07;  0.15;   1.68;    0.00;0;ENDLINE
LINE;0.19;29.34;108.34;0.00; 5.07;  0.16;   1.74;    0.00;0;ENDLINE
LINE;0.20;29.34;108.34;0.00; 5.07;  0.18;   1.81;    0.00;0;ENDLINE
LINE;0.21;29.34;108.33;0.00; 5.07;  0.20;   1.87;    0.00;0;ENDLINE
LINE;0.22;29.34;108.33;0.00; 5.07;  0.22;   1.92;    0.00;0;ENDLINE
LINE;0.23;29.35;108.33;0.00; 5.07;  0.24;   1.97;    0.00;0;ENDLINE
LINE;0.24;29.35;108.33;0.00; 5.07;  0.26;   2.02;    0.00;0;ENDLINE
LINE;0.25;29.35;108.32;0.00; 5.07;  0.28;   2.07;    0.00;0;ENDLINE
LINE;0.26;29.35;108.32;0.00; 5.07;  0.30;   2.11;    0.00;0;ENDLINE
LINE;0.27;29.35;108.32;0.00; 5.07;  0.32;   2.15;    0.00;0;ENDLINE
LINE;0.28;29.35;108.32;0.00; 5.07;  0.34;   2.19;    0.00;0;ENDLINE
LINE;0.29;29.35;108.31;0.00; 5.07;  0.36;   2.23;    0.00;0;ENDLINE
LINE;0.30;29.35;108.31;0.00; 5.07;  0.38;   2.26;    0.00;0;ENDLINE
LINE;0.31;29.35;108.31;0.00; 5.07;  0.41;   2.29;    0.00;0;ENDLINE
LINE;0.32;29.36;108.30;0.00; 5.07;  0.43;   2.32;    0.00;0;ENDLINE
LINE;0.33;29.36;108.30;0.00; 5.07;  0.45;   2.35;    0.00;0;ENDLINE
LINE;0.34;29.36;108.29;0.00; 5.07;  0.48;   2.37;    0.00;0;ENDLINE
LINE;0.35;29.36;108.29;0.00; 5.07;  0.50;   2.40;    0.00;0;ENDLINE
LINE;0.36;29.36;108.28;0.00; 5.07;  0.52;   2.42;    0.00;0;ENDLINE
LINE;0.37;29.36;108.28;0.00; 5.07;  0.55;   2.44;    0.00;0;ENDLINE
LINE;0.38;29.37;108.27;0.00; 5.07;  0.57;   2.46;    0.00;0;ENDLINE
LINE;0.39;29.37;108.27;0.00; 5.07;  0.60;   2.47;    0.00;0;ENDLINE
LINE;0.40;29.37;108.26;0.00; 5.07;  0.62;   2.49;    0.00;0;ENDLINE
LINE;0.41;29.37;108.26;0.00; 5.07;  0.65;   2.50;    0.00;0;ENDLINE
LINE;0.42;29.38;108.25;0.00; 5.07;  0.67;   2.52;    0.00;0;ENDLINE
LINE;0.43;29.38;108.24;0.00; 5.07;  0.70;   2.53;    0.00;0;ENDLINE
LINE;0.44;29.38;108.24;0.00; 5.07;  0.72;   2.54;    0.00;0;ENDLINE
LINE;0.45;29.38;108.23;0.00; 5.07;  0.75;   2.55;    0.00;0;ENDLINE
LINE;0.46;29.39;108.22;0.00; 5.07;  0.77;   2.55;    0.00;0;ENDLINE
LINE;0.47;29.39;108.22;0.00; 5.07;  0.80;   2.56;    0.00;0;ENDLINE
LINE;0.48;29.39;108.21;0.00; 5.07;  0.82;   2.57;    0.00;0;ENDLINE
LINE;0.49;29.39;108.20;0.00; 5.07;  0.85;   2.57;    0.00;0;ENDLINE
LINE;0.50;29.40;108.19;0.00; 5.07;  0.88;   2.57;    0.00;0;ENDLINE
LINE;0.51;29.40;108.18;0.00; 5.07;  0.90;   2.57;    0.00;0;ENDLINE
LINE;0.52;29.40;108.18;0.00; 5.07;  0.93;   2.57;    0.00;0;ENDLINE
