TRAJECTORY;ASTAGarageSquare_fellow_2;0.1;1809;;;;;;;
LINE;0.00;33.08;109.76;0.00; 5.07;  0.00;   0.00;    0.00;0;ENDLINE
LINE;0.01;33.08;109.76;0.00; 5.07;  0.00;   0.04;    0.00;0;ENDLINE
LINE;0.02;33.08;109.76;0.00; 5.07;  0.00;   0.11;    0.00;0;ENDLINE
LINE;0.03;33.08;109.76;0.00; 5.07;  0.00;   0.22;    0.00;0;ENDLINE
LINE;0.04;33.08;109.76;0.00; 5.07;  0.00;   0.35;    0.00;0;ENDLINE
LINE;0.05;33.08;109.76;0.00; 5.07;  0.01;   0.47;    0.00;0;ENDLINE
LINE;0.06;33.08;109.76;0.00; 5.07;  0.01;   0.59;    0.00;0;ENDLINE
LINE;0.07;33.08;109.76;0.00; 5.07;  0.02;   0.70;    0.00;0;ENDLINE
LINE;0.08;33.08;109.76;0.00; 5.07;  0.02;   0.80;    0.00;0;ENDLINE
LINE;0.09;33.08;109.76;0.00; 5.07;  0.03;   0.90;    0.00;0;ENDLINE
LINE;0.10;33.08;109.76;0.00; 5.07;  0.04;   1.00;    0.00;0;ENDLINE
LINE;0.11;33.08;109.76;0.00; 5.07;  0.05;   1.10;    0.00;0;ENDLINE
LINE;0.12;33.08;109.76;0.00; 5.07;  0.06;   1.19;    0.00;0;ENDLINE
LINE;0.13;33.08;109.76;0.00; 5.07;  0.07;   1.28;    0.00;0;ENDLINE
LINE;0.14;33.08;109.76;0.00; 5.07;  0.09;   1.37;    0.00;0;ENDLINE
LINE;0.15;33.08;109.75;0.00; 5.07;  0.10;   1.45;    0.00;0;ENDLINE
LINE;0.16;33.08;109.75;0.00; 5.07;  0.12;   1.53;    0.00;0;ENDLINE
LINE;0.17;33.08;109.75;0.00; 5.07;  0.13;   1.61;    0.00;0;ENDLINE
LINE;0.18;33.08;109.75;0.00; 5.07;  0.15;   1.68;    0.00;0;ENDLINE
LINE;0.19;33.08;109.75;0.00; 5.07;  0.16;   1.74;    0.00;0;ENDLINE
LINE;0.20;33.09;109.75;0.00; 5.07;  0.18;   1.81;    0.00;0;ENDLINE
LINE;0.21;33.09;109.75;0.00; 5.07;  0.20;   1.87;    0.00;0;ENDLINE
LINE;0.22;33.09;109.74;0.00; 5.07;  0.22;   1.92;    0.00;0;ENDLINE
LINE;0.23;33.09;109.74;0.00; 5.07;  0.24;   1.97;    0.00;0;ENDLINE
LINE;0.24;33.09;109.74;0.00; 5.07;  0.26;   2.02;    0.00;0;ENDLINE
LINE;0.25;33.09;109.74;0.00; 5.07;  0.28;   2.07;    0.00;0;ENDLINE
LINE;0.26;33.09;109.73;0.00; 5.07;  0.30;   2.11;    0.00;0;ENDLINE
LINE;0.27;33.09;109.73;0.00; 5.07;  0.32;   2.15;    0.00;0;ENDLINE
LINE;0.28;33.09;109.73;0.00; 5.07;  0.34;   2.19;    0.00;0;ENDLINE
LINE;0.29;33.09;109.73;0.00; 5.07;  0.36;   2.23;    0.00;0;ENDLINE
LINE;0.30;33.10;109.72;0.00; 5.07;  0.38;   2.26;    0.00;0;ENDLINE
LINE;0.31;33.10;109.72;0.00; 5.07;  0.41;   2.29;    0.00;0;ENDLINE
LINE;0.32;33.10;109.71;0.00; 5.07;  0.43;   2.32;    0.00;0;ENDLINE
LINE;0.33;33.10;109.71;0.00; 5.07;  0.45;   2.35;    0.00;0;ENDLINE
LINE;0.34;33.10;109.71;0.00; 5.07;  0.48;   2.37;    0.00;0;ENDLINE
LINE;0.35;33.10;109.70;0.00; 5.07;  0.50;   2.40;    0.00;0;ENDLINE
LINE;0.36;33.11;109.70;0.00; 5.07;  0.52;   2.42;    0.00;0;ENDLINE
LINE;0.37;33.11;109.69;0.00; 5.07;  0.55;   2.44;    0.00;0;ENDLINE
LINE;0.38;33.11;109.69;0.00; 5.07;  0.57;   2.46;    0.00;0;ENDLINE
LINE;0.39;33.11;109.68;0.00; 5.07;  0.60;   2.47;    0.00;0;ENDLINE
LINE;0.40;33.11;109.68;0.00; 5.07;  0.62;   2.49;    0.00;0;ENDLINE
LINE;0.41;33.12;109.67;0.00; 5.07;  0.65;   2.50;    0.00;0;ENDLINE
LINE;0.42;33.12;109.66;0.00; 5.07;  0.67;   2.52;    0.00;0;ENDLINE
LINE;0.43;33.12;109.66;0.00; 5.07;  0.70;   2.53;    0.00;0;ENDLINE
LINE;0.44;33.12;109.65;0.00; 5.07;  0.72;   2.54;    0.00;0;ENDLINE
LINE;0.45;33.13;109.64;0.00; 5.07;  0.75;   2.55;    0.00;0;ENDLINE
LINE;0.46;33.13;109.64;0.00; 5.07;  0.77;   2.55;    0.00;0;ENDLINE
LINE;0.47;33.13;109.63;0.00; 5.07;  0.80;   2.56;    0.00;0;ENDLINE
LINE;0.48;33.13;109.62;0.00; 5.07;  0.82;   2.57;    0.00;0;ENDLINE
LINE;0.49;33.14;109.61;0.00; 5.07;  0.85;   2.57;    0.00;0;ENDLINE
LINE;0.50;33.14;109.60;0.00; 5.07;  0.88;   2.57;    0.00;0;ENDLINE
LINE;0.51;33.14;109.60;0.00; 5.07;  0.90;   2.57;    0.00;0;ENDLINE
LINE;0.52;33.15;109.59;0.00; 5.07;  0.93;   2.57;    0.00;0;ENDLINE
LINE;0.53;33.15;109.58;0.00; 5.07;  0.95;   2.56;    0.00;0;ENDLINE
LINE;0.54;33.15;109.57;0.00; 5.07;  0.98;   2.56;    0.00;0;ENDLINE
LINE;0.55;33.16;109.56;0.00; 5.07;  1.00;   2.55;    0.00;0;ENDLINE
LINE;0.56;33.16;109.55;0.00; 5.07;  1.03;   2.55;    0.00;0;ENDLINE
LINE;0.57;33.16;109.54;0.00; 5.07;  1.06;   2.54;    0.00;0;ENDLINE
LINE;0.58;33.17;109.53;0.00; 5.07;  1.08;   2.54;    0.00;0;ENDLINE
LINE;0.59;33.17;109.52;0.00; 5.07;  1.11;   2.53;    0.00;0;ENDLINE
LINE;0.60;33.18;109.51;0.00; 5.07;  1.13;   2.52;    0.00;0;ENDLINE
LINE;0.61;33.18;109.50;0.00; 5.07;  1.16;   2.52;    0.00;0;ENDLINE
LINE;0.62;33.18;109.49;0.00; 5.07;  1.18;   2.51;    0.00;0;ENDLINE
LINE;0.63;33.19;109.48;0.00; 5.07;  1.21;   2.50;    0.00;0;ENDLINE
LINE;0.64;33.19;109.47;0.00; 5.07;  1.23;   2.49;    0.00;0;ENDLINE
LINE;0.65;33.20;109.45;0.00; 5.07;  1.26;   2.49;    0.00;0;ENDLINE
LINE;0.66;33.20;109.44;0.00; 5.07;  1.28;   2.48;    0.00;0;ENDLINE
LINE;0.67;33.21;109.43;0.00; 5.07;  1.31;   2.47;    0.00;0;ENDLINE
LINE;0.68;33.21;109.42;0.00; 5.07;  1.33;   2.46;    0.00;0;ENDLINE
LINE;0.69;33.21;109.41;0.00; 5.07;  1.36;   2.45;    0.00;0;ENDLINE
LINE;0.70;33.22;109.39;0.00; 5.07;  1.38;   2.45;    0.00;0;ENDLINE
LINE;0.71;33.22;109.38;0.00; 5.07;  1.40;   2.44;    0.00;0;ENDLINE
LINE;0.72;33.23;109.37;0.00; 5.07;  1.43;   2.43;    0.00;0;ENDLINE
LINE;0.73;33.23;109.35;0.00; 5.07;  1.45;   2.42;    0.00;0;ENDLINE
